source_type,target_type,gene,n_cells,r,p,q
astrocyte,oligodendrocyte,RIMS1,29,-0.033084944058834304,0.8647135768050674,0.8647135768050674
astrocyte,oligodendrocyte,UNC13A,29,-0.15829044619458424,0.41215119738214434,0.8350602603157741
astrocyte,oligodendrocyte,STXBP5,29,-0.05924867966083655,0.7601396444734387,0.8445996049704875
astrocyte,oligodendrocyte,APOE,29,0.08663880620438269,0.6549593193918838,0.8445996049704875
astrocyte,oligodendrocyte,ITGAM,29,-0.13818171904456633,0.4747082341669156,0.8350602603157741
astrocyte,oligodendrocyte,SLC1A3,29,-0.14030978411375672,0.46786450541492786,0.8350602603157741
excitatory,astrocyte,SNAP25,34,-0.03640837864703246,0.8380234808646481,0.9131892321119198
excitatory,astrocyte,GFAP,34,-0.029745071708334528,0.867376851481825,0.9131892321119198
excitatory,astrocyte,CX3CR1,34,-0.23966310454755102,0.17219474174484398,0.6220931652689367
excitatory,astrocyte,PLP1,34,0.0876941514522549,0.6218953144783612,0.9131892321119198
excitatory,astrocyte,RIMS1,34,-0.019420902749902224,0.9131892321119198,0.9131892321119198
excitatory,astrocyte,UNC13A,34,0.2320583054464992,0.186627949580681,0.6220931652689367
excitatory,astrocyte,STXBP5,34,0.08163384999801784,0.646258688078046,0.9131892321119198
excitatory,astrocyte,APOE,34,-0.25969165508944864,0.13802345744926436,0.6220931652689367
excitatory,astrocyte,ITGAM,34,0.07744243953165059,0.6633246905804149,0.9131892321119198
excitatory,astrocyte,SLC1A3,34,-0.16414191618043233,0.35360640117747266,0.8840160029436817
excitatory,inhibitory,SNAP25,34,0.3214992960699293,0.06372558928890938,0.3186279464445469
excitatory,inhibitory,GFAP,34,-0.09587572713799632,0.5896238497073149,0.8423197852961641
excitatory,inhibitory,CX3CR1,34,0.048468242495073414,0.7854645073697096,0.8727383415218997
excitatory,inhibitory,PLP1,34,0.2159485580663777,0.21996437053997686,0.7100090222562045
excitatory,inhibitory,RIMS1,34,-0.41561139731248115,0.014505824066973049,0.1450582406697305
excitatory,inhibitory,UNC13A,34,-0.0016863584096124332,0.9924479234384449,0.9924479234384449
excitatory,inhibitory,STXBP5,34,0.18914824704120556,0.28400360890248183,0.7100090222562045
excitatory,inhibitory,APOE,34,0.10424815048765425,0.5573840241741098,0.8423197852961641
excitatory,inhibitory,ITGAM,34,-0.1161385603489352,0.5130555715418131,0.8423197852961641
excitatory,inhibitory,SLC1A3,34,-0.07164247263374383,0.687215666622363,0.8590195832779537
excitatory,microglia,SNAP25,34,-0.09369093785909646,0.5981694202436237,0.9616287668026801
excitatory,microglia,GFAP,34,0.1835303265286966,0.2988111276260851,0.9616287668026801
excitatory,microglia,CX3CR1,34,0.1460112484465992,0.4099574060113977,0.9616287668026801
excitatory,microglia,PLP1,34,0.4628561469087497,0.005843375898172231,0.0584337589817223
excitatory,microglia,RIMS1,34,-0.02496636185270287,0.8885382516707196,0.9616287668026801
excitatory,microglia,UNC13A,34,-0.10664423949853366,0.5483103200868639,0.9616287668026801
excitatory,microglia,STXBP5,34,0.013308013775130237,0.9404541554483942,0.9616287668026801
excitatory,microglia,APOE,34,-0.2535035787810185,0.1480005203320794,0.7400026016603969
excitatory,microglia,ITGAM,34,0.07015797473715646,0.6933797953953024,0.9616287668026801
excitatory,microglia,SLC1A3,34,-0.008571218955070604,0.9616287668026801,0.9616287668026801
excitatory,oligodendrocyte,SNAP25,34,0.0698124526764065,0.6948173119195613,0.8127528299828635
excitatory,oligodendrocyte,GFAP,34,-0.13644669065735632,0.4416179499063888,0.7573802942635524
excitatory,oligodendrocyte,CX3CR1,34,-0.27882529103562936,0.11029775546741367,0.7573802942635524
excitatory,oligodendrocyte,PLP1,34,0.2048735396081621,0.24511199411190931,0.7573802942635524
excitatory,oligodendrocyte,RIMS1,34,-0.1289420829556792,0.4673638897486147,0.7573802942635524
excitatory,oligodendrocyte,UNC13A,34,0.1373604922576739,0.4385367590950156,0.7573802942635524
excitatory,oligodendrocyte,STXBP5,34,0.060902366843574154,0.7322352587074606,0.8127528299828635
excitatory,oligodendrocyte,APOE,34,0.1114924465055655,0.5301662059844866,0.7573802942635524
excitatory,oligodendrocyte,ITGAM,34,-0.21599868219513013,0.21985472475394857,0.7573802942635524
excitatory,oligodendrocyte,SLC1A3,34,0.0421837286313052,0.8127528299828635,0.8127528299828635
inhibitory,astrocyte,SNAP25,22,0.1784909126031436,0.4267642572921279,0.8152638928290186
inhibitory,astrocyte,GFAP,22,-0.13738026417343463,0.5420875311087475,0.8152638928290186
inhibitory,astrocyte,CX3CR1,22,0.014282122691604884,0.9497014250367983,0.9497014250367983
inhibitory,astrocyte,PLP1,22,-0.10960365129524732,0.6272893450525069,0.8152638928290186
inhibitory,astrocyte,RIMS1,22,0.10177882733410112,0.6522111142632149,0.8152638928290186
inhibitory,astrocyte,UNC13A,22,0.01829564555699962,0.9355919148273132,0.9497014250367983
inhibitory,astrocyte,STXBP5,22,-0.17761782838525444,0.42906654967988567,0.8152638928290186
inhibitory,astrocyte,APOE,22,0.3651619187199257,0.09470891313460635,0.8152638928290186
inhibitory,astrocyte,ITGAM,22,-0.13669278760951387,0.5441301525861011,0.8152638928290186
inhibitory,astrocyte,SLC1A3,22,-0.27576080573749917,0.21416615378792553,0.8152638928290186
inhibitory,excitatory,SNAP25,22,0.04074979725841583,0.8571126366242002,0.9625417593579196
inhibitory,excitatory,GFAP,22,-0.28720270352465394,0.19498405187189177,0.9625417593579196
inhibitory,excitatory,CX3CR1,22,-0.09816502809863457,0.6638450850068042,0.9625417593579196
inhibitory,excitatory,PLP1,22,-0.2144580916213944,0.3378633386089729,0.9625417593579196
inhibitory,excitatory,RIMS1,22,0.01063325034097079,0.9625417593579196,0.9625417593579196
inhibitory,excitatory,UNC13A,22,0.08200128699034155,0.7167685120340812,0.9625417593579196
inhibitory,excitatory,STXBP5,22,0.11704664070631594,0.6039419057832524,0.9625417593579196
inhibitory,excitatory,APOE,22,0.4440931598672423,0.03840406451575448,0.3840406451575448
inhibitory,excitatory,ITGAM,22,-0.17539344837245793,0.4349621576225025,0.9625417593579196
inhibitory,excitatory,SLC1A3,22,-0.03650073423220087,0.8718860328042918,0.9625417593579196
inhibitory,microglia,SNAP25,22,0.0785712245898428,0.7281723475285176,0.7281723475285176
inhibitory,microglia,GFAP,22,-0.12755791875396283,0.57160117425176,0.7281723475285176
inhibitory,microglia,CX3CR1,22,-0.09356769796130393,0.6787538071389955,0.7281723475285176
inhibitory,microglia,PLP1,22,-0.09182102069533157,0.6844490368598051,0.7281723475285176
inhibitory,microglia,RIMS1,22,-0.07934997231180226,0.7255782912283478,0.7281723475285176
inhibitory,microglia,UNC13A,22,0.10796693821175617,0.6324710023422725,0.7281723475285176
inhibitory,microglia,STXBP5,22,0.2342304138765853,0.2940890626515561,0.7281723475285176
inhibitory,microglia,APOE,22,0.3024426950891201,0.17129027244669076,0.7281723475285176
inhibitory,microglia,ITGAM,22,-0.18784392565081365,0.402521592680986,0.7281723475285176
inhibitory,microglia,SLC1A3,22,-0.22382628530955842,0.31666432865525335,0.7281723475285176
inhibitory,oligodendrocyte,SNAP25,22,0.2518494834724259,0.25819401902587336,0.6052555692868081
inhibitory,oligodendrocyte,GFAP,22,-0.2030046371564997,0.364892756871605,0.6081545947860083
inhibitory,oligodendrocyte,CX3CR1,22,0.0813572747007631,0.7189052866379294,0.8589031437963436
inhibitory,oligodendrocyte,PLP1,22,-0.00216207429748614,0.9923810844971279,0.9923810844971279
inhibitory,oligodendrocyte,RIMS1,22,-0.31188696137575944,0.15764881508031756,0.6052555692868081
inhibitory,oligodendrocyte,UNC13A,22,-0.2302395397974915,0.30262778464340406,0.6052555692868081
inhibitory,oligodendrocyte,STXBP5,22,0.06523736002900467,0.7730128294167092,0.8589031437963436
inhibitory,oligodendrocyte,APOE,22,0.3502972713741254,0.10998721960196603,0.6052555692868081
inhibitory,oligodendrocyte,ITGAM,22,-0.2937597171898838,0.18453246444291316,0.6052555692868081
inhibitory,oligodendrocyte,SLC1A3,22,0.1627144656890689,0.46937740816107765,0.6705391545158252
microglia,astrocyte,SNAP25,16,-0.22038555277688626,0.41210719936354145,0.9770064409780429
microglia,astrocyte,GFAP,16,-0.04757448681241638,0.8611116527465529,0.9770064409780429
microglia,astrocyte,CX3CR1,16,0.23597258101291574,0.37894349180344755,0.9770064409780429
microglia,astrocyte,PLP1,16,-0.03772763742382346,0.8896735768662205,0.9770064409780429
microglia,astrocyte,RIMS1,16,0.28079347875674643,0.2921358594176309,0.9770064409780429
microglia,astrocyte,UNC13A,16,0.058212886281939866,0.8304350518843465,0.9770064409780429
microglia,astrocyte,STXBP5,16,0.0334929401698533,0.9019980238973464,0.9770064409780429
microglia,astrocyte,APOE,16,-0.007841591797470487,0.9770064409780429,0.9770064409780429
microglia,astrocyte,ITGAM,16,-0.2473137999753471,0.35576280740759203,0.9770064409780429
microglia,astrocyte,SLC1A3,16,0.08039281892709745,0.7672567289481673,0.9770064409780429
microglia,excitatory,SNAP25,16,-0.13219092554600909,0.6255338134952927,0.6950375705503252
microglia,excitatory,GFAP,16,-0.2191324517981574,0.41483779920020253,0.6950375705503252
microglia,excitatory,CX3CR1,16,0.5121216016442385,0.04255446941290382,0.39031325531930794
microglia,excitatory,PLP1,16,-0.18136418380399674,0.5014446389316305,0.6950375705503252
microglia,excitatory,RIMS1,16,0.45298998726535245,0.0780626510638616,0.39031325531930794
microglia,excitatory,UNC13A,16,-0.14666001505442722,0.5878195285646165,0.6950375705503252
microglia,excitatory,STXBP5,16,0.17967609154695002,0.5055027248981899,0.6950375705503252
microglia,excitatory,APOE,16,-0.07466953380724589,0.7834443595653545,0.7834443595653545
microglia,excitatory,ITGAM,16,-0.38945334950486904,0.13594578128156,0.4531526042718667
microglia,excitatory,SLC1A3,16,-0.26053519641562056,0.32977048440117573,0.6950375705503252
microglia,inhibitory,SNAP25,16,-0.18113217033637663,0.5020014772972189,0.8366691288286981
microglia,inhibitory,GFAP,16,0.3099184987355681,0.2427427848308046,0.809142616102682
microglia,inhibitory,CX3CR1,16,0.22145187380986625,0.409791083058978,0.8366691288286981
microglia,inhibitory,PLP1,16,0.10783506784790298,0.6909888602158015,0.8750936224888738
microglia,inhibitory,RIMS1,16,0.375527978731913,0.1517557769170518,0.758778884585259
microglia,inhibitory,UNC13A,16,-0.1045186874927394,0.700074897991099,0.8750936224888738
microglia,inhibitory,STXBP5,16,0.18426272281508407,0.49451264660457434,0.8366691288286981
microglia,inhibitory,APOE,16,-0.01968763622046088,0.9423084311547639,0.9423084311547639
microglia,inhibitory,ITGAM,16,-0.42550692838026455,0.1003490718452356,0.758778884585259
microglia,inhibitory,SLC1A3,16,0.021747667134895482,0.9362827034134372,0.9423084311547639
microglia,oligodendrocyte,SNAP25,16,-0.011395565619055636,0.9665898461802984,0.9805839611999231
microglia,oligodendrocyte,GFAP,16,-0.006621301062290752,0.9805839611999231,0.9805839611999231
microglia,oligodendrocyte,CX3CR1,16,0.3590434315731045,0.17202196446954987,0.9068264548788754
microglia,oligodendrocyte,PLP1,16,-0.08879861728576091,0.7436462414497703,0.9805839611999231
microglia,oligodendrocyte,RIMS1,16,0.3518783220862284,0.18136529097577508,0.9068264548788754
microglia,oligodendrocyte,UNC13A,16,-0.1342384757691043,0.6201407988397066,0.9805839611999231
microglia,oligodendrocyte,STXBP5,16,-0.15575245009056835,0.5646106907383115,0.9805839611999231
microglia,oligodendrocyte,APOE,16,-0.043763251399113044,0.8721493295810828,0.9805839611999231
microglia,oligodendrocyte,ITGAM,16,-0.28324132715395695,0.2877698292709819,0.9592327642366063
microglia,oligodendrocyte,SLC1A3,16,-0.007983112507164644,0.9765915707891908,0.9805839611999231
oligodendrocyte,astrocyte,SNAP25,19,0.016505804542429107,0.9465284884053857,0.9465284884053857
oligodendrocyte,astrocyte,GFAP,19,0.24641633519023123,0.3091644584007335,0.7219424328823125
oligodendrocyte,astrocyte,CX3CR1,19,0.3187222785136005,0.18353076996521095,0.7219424328823125
oligodendrocyte,astrocyte,PLP1,19,0.12372311514882763,0.6138184522071418,0.8307086572509221
oligodendrocyte,astrocyte,RIMS1,19,0.1498796170140961,0.5402513177333829,0.8307086572509221
oligodendrocyte,astrocyte,UNC13A,19,0.07299440340351078,0.7664888170388607,0.8516542411542898
oligodendrocyte,astrocyte,STXBP5,19,-0.2787644088898031,0.24780195350332274,0.7219424328823125
oligodendrocyte,astrocyte,APOE,19,-0.10641986359211705,0.6645669258007377,0.8307086572509221
oligodendrocyte,astrocyte,ITGAM,19,-0.2500843151588221,0.3017850776549289,0.7219424328823125
oligodendrocyte,astrocyte,SLC1A3,19,-0.22201490241406716,0.36097121644115626,0.7219424328823125
oligodendrocyte,excitatory,SNAP25,19,0.28589077485461645,0.23541139767000982,0.47082279534001964
oligodendrocyte,excitatory,GFAP,19,0.36379962575450525,0.12573656661018143,0.31434141652545355
oligodendrocyte,excitatory,CX3CR1,19,-0.02999117956663367,0.9029938919409589,0.9029938919409589
oligodendrocyte,excitatory,PLP1,19,-0.22816802182229676,0.3474655590376421,0.5764651378544182
oligodendrocyte,excitatory,RIMS1,19,-0.5247520334450425,0.021067813030854147,0.18242066676666532
oligodendrocyte,excitatory,UNC13A,19,0.1947375047083685,0.42434438653007733,0.5764651378544182
oligodendrocyte,excitatory,STXBP5,19,-0.4823387584418887,0.036484133353333066,0.18242066676666532
oligodendrocyte,excitatory,APOE,19,0.1798863336275315,0.46117211028353455,0.5764651378544182
oligodendrocyte,excitatory,ITGAM,19,0.42667889158434735,0.06848188625732354,0.2282729541910785
oligodendrocyte,excitatory,SLC1A3,19,-0.04186931151559685,0.8648623616115427,0.9029938919409589
oligodendrocyte,inhibitory,SNAP25,19,-0.05961821124877755,0.808437279869181,0.9840563244582484
oligodendrocyte,inhibitory,GFAP,19,0.3730556604823796,0.11568875118382665,0.8847270335010627
oligodendrocyte,inhibitory,CX3CR1,19,0.32331472148583584,0.17694540670021255,0.8847270335010627
oligodendrocyte,inhibitory,PLP1,19,-0.10880147403196673,0.6574921584892706,0.9840563244582484
oligodendrocyte,inhibitory,RIMS1,19,-0.14443380763138972,0.5552318753578215,0.9840563244582484
oligodendrocyte,inhibitory,UNC13A,19,-0.10730256188304708,0.6619415921517372,0.9840563244582484
oligodendrocyte,inhibitory,STXBP5,19,0.11331304371750144,0.6441667292121375,0.9840563244582484
oligodendrocyte,inhibitory,APOE,19,0.04954692248298098,0.8403615862125171,0.9840563244582484
oligodendrocyte,inhibitory,ITGAM,19,-0.030010862118496406,0.9029305151998432,0.9840563244582484
oligodendrocyte,inhibitory,SLC1A3,19,-0.004918506010496496,0.9840563244582484,0.9840563244582484
oligodendrocyte,microglia,SNAP25,19,-0.06159957462307271,0.8021890437218833,0.9970013034951544
oligodendrocyte,microglia,GFAP,19,0.13016112260669316,0.5953424144650992,0.9970013034951544
oligodendrocyte,microglia,CX3CR1,19,0.46366684908741573,0.04554967961118417,0.4554967961118417
oligodendrocyte,microglia,PLP1,19,-0.12202883922542017,0.6187186203785188,0.9970013034951544
oligodendrocyte,microglia,RIMS1,19,0.09514767197511963,0.6984128078074915,0.9970013034951544
oligodendrocyte,microglia,UNC13A,19,-0.32524028580768566,0.17423243367686414,0.8711621683843207
oligodendrocyte,microglia,STXBP5,19,0.023463594253632543,0.9240411229657827,0.9970013034951544
oligodendrocyte,microglia,APOE,19,0.0009250217316628673,0.9970013034951544,0.9970013034951544
oligodendrocyte,microglia,ITGAM,19,0.0683992011193719,0.7808357901857118,0.9970013034951544
oligodendrocyte,microglia,SLC1A3,19,0.1299535953755159,0.595934371093372,0.9970013034951544
