region,source_type,target_type,gene,n_cells,r,p,q
DG-CA1,astrocyte,inhibitory,UNC13A,14,-0.46412018221461254,0.09456698447269116,0.4693936682563349
DG-CA1,astrocyte,inhibitory,STXBP5,14,0.41429040338544565,0.14081810047690047,0.4693936682563349
DG-CA1,astrocyte,inhibitory,APOE,14,-0.2659599262761262,0.35806488913900997,0.7161297782780199
DG-CA1,astrocyte,inhibitory,ITGAM,14,-0.3071336936803463,0.285458605685322,0.713646514213305
DG-CA1,astrocyte,inhibitory,SLC1A3,14,0.048943447997872286,0.8680360023500974,0.9819839293437175
DG-CA1,astrocyte,microglia,SNAP25,14,-0.009170283871615045,0.975179233924914,0.975179233924914
DG-CA1,astrocyte,microglia,GFAP,14,0.1896600965629128,0.5160693195682995,0.7254550208165605
DG-CA1,astrocyte,microglia,CX3CR1,14,0.08417401233914606,0.7748063229545128,0.8608959143939031
DG-CA1,astrocyte,microglia,PLP1,14,-0.1618674153939997,0.5803640166532484,0.7254550208165605
DG-CA1,astrocyte,microglia,RIMS1,14,0.45421803859393084,0.10277207992886865,0.7254550208165605
DG-CA1,astrocyte,microglia,UNC13A,14,-0.25868438558572715,0.37185408883903626,0.7254550208165605
DG-CA1,astrocyte,microglia,STXBP5,14,0.3808328919720102,0.17914692103249594,0.7254550208165605
DG-CA1,astrocyte,microglia,APOE,14,-0.2459583446580247,0.3966469195310035,0.7254550208165605
DG-CA1,astrocyte,microglia,ITGAM,14,-0.2975558944666654,0.30151283717550764,0.7254550208165605
DG-CA1,astrocyte,microglia,SLC1A3,14,-0.20571178758464784,0.48047193449603226,0.7254550208165605
DG-CA1,astrocyte,oligodendrocyte,SNAP25,14,0.38238729467977867,0.177231357995722,0.9436792395419386
DG-CA1,astrocyte,oligodendrocyte,GFAP,14,-0.15205391890302244,0.6038135899871595,0.9436792395419386
DG-CA1,astrocyte,oligodendrocyte,CX3CR1,14,-0.020820394810239236,0.9436792395419386,0.9436792395419386
DG-CA1,astrocyte,oligodendrocyte,PLP1,14,0.11804113581106158,0.687756761693484,0.9436792395419386
DG-CA1,astrocyte,oligodendrocyte,RIMS1,14,-0.027547668577312973,0.9255218328830386,0.9436792395419386
DG-CA1,astrocyte,oligodendrocyte,UNC13A,14,-0.20693860250855145,0.4778001150979847,0.9436792395419386
DG-CA1,astrocyte,oligodendrocyte,STXBP5,14,-0.24653299786004063,0.39550911808854383,0.9436792395419386
DG-CA1,astrocyte,oligodendrocyte,APOE,14,0.0353687975674266,0.9044548797935952,0.9436792395419386
DG-CA1,astrocyte,oligodendrocyte,ITGAM,14,-0.30649729318780766,0.28650945240427006,0.9436792395419386
DG-CA1,astrocyte,oligodendrocyte,SLC1A3,14,0.2509110414665829,0.386897123351361,0.9436792395419386
DG-CA1,excitatory,astrocyte,SNAP25,14,-0.20541217227262928,0.48112552401632785,0.6873221771661827
DG-CA1,excitatory,astrocyte,GFAP,14,0.14466868088976143,0.6216998349385816,0.7017085722408662
DG-CA1,excitatory,astrocyte,CX3CR1,14,-0.4796723713364853,0.08261776045862336,0.4130888022931168
DG-CA1,excitatory,astrocyte,PLP1,14,-0.28395297606616615,0.3251893141274609,0.6503786282549218
DG-CA1,excitatory,astrocyte,RIMS1,14,0.017417408180284057,0.9528743623365215,0.9528743623365215
DG-CA1,excitatory,astrocyte,UNC13A,14,0.6040479127737256,0.022153972928528103,0.22153972928528104
DG-CA1,excitatory,astrocyte,STXBP5,14,0.36474261848566164,0.19976091578716262,0.6119633957527358
DG-CA1,excitatory,astrocyte,APOE,14,-0.14064098262093797,0.6315377150167796,0.7017085722408662
DG-CA1,excitatory,astrocyte,ITGAM,14,-0.2070398976885917,0.4775798252758818,0.6873221771661827
DG-CA1,excitatory,astrocyte,SLC1A3,14,-0.3329240759703273,0.24478535830109432,0.6119633957527358
